id,Name,Institute,Year,Ecosystem,Long,Lat,Description,Link
1,Palos Verdes Peninsula,Bay Foundation,Ongoing,Kelp Forest,-118.4137,33.7459,"Restored 46 acres of kelp forest through reducing sea urchin density of the Palos Verdes Peninsula in Los Angeles County. Observed increase in ecosystem biomass and biodiversity of kelp, invertebrate, and fish populations in restoration sites.",https://www.santamonicabay.org/explore/in-the-ocean/kelp-forest-restoration/
2,Potomac River,Chesapeake Bay Program,2003-2005,Seagrass,-76.5826,38.1577,"Program used a variety of planting techniques as well as large quantities of seeds. Despite early indicators of success, by the summer of 2005 almost all plants were gone, due to limited light availability and higher water temperatures.",https://www.ser-rrc.org/project/usa-maryland-potomac-river-eelgrass-restoration/
3,San Francisco Bay: Hayward,Coastal Conservancy,2011-2017,Seagrass & Oyster,-122.1485,37.6096,Planted combinations of eelgrass units and different oyster substrate units to assess biological and physical effects of treatment plots. Overall: Eelgrass transplanted from Point Molate was more successful than donors from Point San Pablo due to similar muddy conditions effects of treatment plots. Overall: Eelgrass transplanted from Point Molate was more successful than donors from Point San Pablo due to similar muddy conditions,https://scc.ca.gov/webmaster/ftp/pdf/restore-shoreline/sfbay-living-shorline-project-052412.pdf
4,San Francisco Bay: San Rafael,Coastal Conservancy,2011-2017,Seagrass & Oyster,-122.4937,37.9682,Planted combinations of eelgrass units and different oyster substrate units to assess biological and physical,https://scc.ca.gov/webmaster/ftp/pdf/restore-shoreline/sfbay-living-shorline-project-052412.pdf
5,Eastern Long Island Sound,Cornell Cooperative Extension Marine Program,2008-2010,Seagrass,-72.1842,41.1888,Restoration activities conducted have proven that eelgrass plantings are possible and effective in establishing persistent meadows in Long Island Sound.,http://www.seagrassli.org/restoration/projects/nfwf.html
6,West Galveston Bay,Galveston Bay Foundation,1994-1995,Seagrass,-94.9502,29.2631,"One successful and one unsuccessful transplant of seagrass. Shallow and denser shoot plantings showed more success, with the healthy beds being able to be used for future projects as a donor site.",https://www.ser-rrc.org/project/usa-texas-west-galveston-bay-seagrass-restoration/
7,Boston Harbor,Massachusetts Division Of Marine Fisheries,2004-2007,Seagrass,-70.974,42.3367,"Favorable results in seeding locations on island sites in Boston Harbor, mainland Boston Harbor locations were unsuitable for restoration during the project because of sediment quality issues related to organic loading. The study also tested advantages and disadvantages relating to hand- and frame-planting of seagrass.",https://www.ser-rrc.org/project/usa-massachusetts-boston-harbor-eelgrass-restoration/
8,Mission Bay,"Merkel & Associates, Inc; City Of San Diego",2016,Eelgrass,-117.2317,32.7712,Replanting eelgrass in order to mitigate negative impacts to eelgrass habitat from maintenance dredging.,https://www.sandiego.gov/sites/default/files/dsderp_pts520687_03.pdf
9,Biscayne Bay,Port Of Miami Expansion Program,1987,Seagrass,-80.2455,25.5662,"Four large scale attempts at seagrass restoration using three different species and three distinct planting techniques. All areas experienced successful growth and spreading of seagrass populations and observed rapid colonization by animals, including both fishery and other food web species. Estimated value of $9 million added by recovering productive bay area.",https://www.sciencedirect.com/science/article/abs/pii/0025326X87906217
10,Wickford Harbor,Save The Bay; University Of Rhode Island,2002,Seagrass,-71.4436,41.5781,"Eelgrass transplant near an existing eelgrass bed in Wickford Harbor, Rhode Island. Aimed to raise public awareness and experiment with transplant methodology.",http://www.edc.uri.edu/restoration/html/intro/sea.htm
11,Agua Hedionada Lagoon,Southern California Caulerpa Taxifolia Eradication Program,2000-2005,Invasive Species Removal,-117.3199,33.1414,"Successful removal of invasive seaweed species, protecting native biodiversity and functioning ecosystems. Surveys have shown that the removal was complete.",https://www.ser-rrc.org/project/usa-california-eradication-of-the-invasive-seaweed-caulerpa-taxifolia-from-agua-hedionda-lagoon-and-huntington-harbour/
12,Tampa Bay,Tampa Bay Estuary Program,Ongoing,Seagrass,-82.5436,27.7633,One thousand hectares of seagrass beds restored through water quality upgrades. Direct hand and mechanical planting failed. There are future plans for reconstruction of the longshore bar system.,https://www.ser-rrc.org/project/usa-florida-restoration-of-the-tampa-bay-ecosystem/
13,Huntington Harbor,Town Of Huntington And Cornell Cooperative Extension Marine Program,2004-2006,Eelgrass & Bay Scallops,-73.4128,40.9125,Restoration of eelgrass and bay scallops at several different sites in the greater Huntington Northport Bay Complex using adult shoot transplant and seeding methods to improve their survival.,http://www.seagrassli.org/restoration/projects/hharbor.html
14,Peconic Estuary,Town Of Shelter Island And Cornell Cooperative Extension Marine Program,2004-2007,Seagrass,-72.3206,41.0997,Project involved transplanting adult shoots and using various densities to determine the most effective methods. Planting into circular 1m2  plots at a density of 200 shoots/m2 was shown to be the best method.,http://www.seagrassli.org/restoration/projects/pe1.html
15,Virginia's Eastern Shore,Virginia Coastal Zone Management Program,1998,Seagrass,-75.8364,37.3685,"Restoration project ongoing since 1998 on the Atlantic side of Virginia's Eastern Shore. Seagrass restoration wass carried out by transplanting seeds in a process called 'seed broadcasting' from healthy communities. By 2013, over five thousand acres of seagrass beds were restored.",https://www.deq.virginia.gov/Programs/CoastalZoneManagement/CZMIssuesInitiatives/SeaGrass.aspx
16,Delaware Inland Bays,Virginia Institute Of Marine Science,1990,Seagrass,-75.0795,38.6292,Two acres of eelgrass sanctuary/nursery was established within the Rehoboth and Indian River Bays. The seeds and rhizomes were collected from eelgrass beds in Virginia.,http://sagecoast.vims.edu/info/searchdetail.php?recid=DE01